segment,positions,total_bought_usdc,realized_pnl_usdc,roi_pct,wins,losses,win_rate_pct
<$1k,45,19156.403416,2482.6016369999993,12.96,27,18,60.0
$1k-$10k,428,1988874.316201,470716.27331200003,23.67,329,99,76.9
$10k-$50k,430,10255030.824876001,2217676.504735,21.63,308,122,71.6
$50k-$100k,98,6435811.5062,1157488.028658,17.99,70,28,71.4
$100k-$500k,28,3669195.0707710003,663291.0933229998,18.08,22,6,78.6
