segment,positions,total_bought_usdc,realized_pnl_usdc,roi_pct,wins,losses,win_rate_pct
<$1k,248,69454.83872599999,1582.9062400000003,2.28,197,51,79.4
$1k-$10k,179,661220.123269,3011.118675000005,0.46,155,24,86.6
$10k-$50k,100,1989021.207211,41028.790050000054,2.06,47,53,47.0
$50k-$100k,30,2519134.033751,43041.19552699999,1.71,17,13,56.7
$100k-$500k,64,18060092.345597,806939.8742170001,4.47,34,30,53.1
$500k+,48,80104589.47976701,1379986.2592440003,1.72,17,31,35.4
