segment,positions,total_bought_usdc,realized_pnl_usdc,roi_pct,wins,losses,win_rate_pct
Crypto,2,20303.940000000002,7698.979781,37.92,2,0,100.0
Elections,2,103386.716261,767.3958980000007,0.74,1,1,50.0
La Liga,59,1163644.366576,171678.10892499998,14.75,40,19,67.8
MLB,2,9.536636,1.812503,19.01,1,1,50.0
NBA,918,20139178.039692,4143712.2689050003,20.58,678,240,73.9
NFL,16,318196.849266,75132.14265499999,23.61,12,4,75.0
NHL,5,6709.710000000001,977.9623330000004,14.58,2,3,40.0
Other,21,501311.05222400004,107102.824034,21.36,17,4,81.0
Politics,4,115327.91080900001,4583.006630999999,3.97,3,1,75.0
