segment,positions,total_bought_usdc,realized_pnl_usdc,roi_pct,wins,losses,win_rate_pct
Crypto,1,17440.56,6883.841353,39.47,1,0,100.0
MLB,2,9.536636,1.812503,19.01,1,1,50.0
NBA,965,21016555.870351,4236375.043469,20.16,710,255,73.6
NFL,12,217004.009266,77230.32631600002,35.59,10,2,83.3
NHL,4,6693.710000000001,980.3623330000005,14.65,2,2,50.0
Other,38,888786.428141,184017.57473400002,20.7,27,11,71.1
Politics,7,221578.00707000002,6165.540956999996,2.78,5,2,71.4
