market_id,market_title,slug,event_slug,category,submarket,outcome,outcome_index,total_bought_usdc,avg_entry_price,resolved_price,realized_pnl_usdc,win
0xb2d10bf9ec670e824609bb4b4be73bb4cb17d96f689f23b60ea217990e6236be,Pelicans vs. 76ers,nba-nop-phi-2026-01-31,nba-nop-phi-2026-01-31,NBA,NBA,76ers,1,207380.422326,0.67,1.0,68435.539367,True
0x39d45b454dcf932767962ad9cbd858c5a6ec21d4d48318a484775b2e83264467,Will the Buffalo Bills win Super Bowl 2026?,will-the-buffalo-bills-win-super-bowl-2026,super-bowl-champion-2026-731,Other,Other,Yes,0,1807962.57414,0.028974,0.0,57657.48312600001,True
0xac2be3a5471b343d43b9f0d3f141611b91feb8c66aed8e286cd3d2540714aaba,"Will Bitcoin reach $250,000 by December 31, 2025?",will-bitcoin-reach-250000-by-december-31-2025,what-price-will-bitcoin-hit-in-2025,Crypto,Crypto,No,1,950000.0,0.9399999999999998,1.0,57000.0,True
0xec4683a18506bff661d2e2109b97f4c4b20e9da42c2dd74b2f9a8eb525c280b9,Lightning vs. Jets: O/U 6.5,nhl-tb-wpg-2026-03-05-total-6pt5,nhl-tb-wpg-2026-03-05,NHL,NHL,Under,1,113636.0,0.56,1.0,49999.84,True
0x2f7db086b267296d7c44d6e2bd90a16e2b30e4f66c3db2ff80b5a9fc75090f9b,Will Chelsea FC win on 2026-01-28?,ucl-nap1-cfc-2026-01-28-cfc,ucl-nap1-cfc-2026-01-28,Soccer,UCL,Yes,0,87719.0,0.43,1.0,49999.83,True
0xcae508361b37e1b47378a7a21d9e4af0e01ec93500141231555b5e7875687819,Will BV Borussia 09 Dortmund win on 2026-02-25?,ucl-ata1-bvb-2026-02-25-bvb,ucl-ata1-bvb-2026-02-25,Soccer,UCL,No,1,161288.718956,0.69,1.0,49999.502859,True
0x448c889f53a7da5111ecdbfe5a9a10e04043ad5bc950c38755e418f1aec532ce,Spread: Warriors (-6.5),nba-gsw-uta-2026-03-09-spread-away-6pt5,nba-gsw-uta-2026-03-09,NBA,NBA,Jazz,1,98240.28,0.49000000000000005,1.0,39384.735427,True
0xaef0f6566ed67f71d2770af7844ef51bfbeece8f255da85bbe7b6382515c6c92,Will Everton FC win on 2026-02-23?,epl-eve-mun-2026-02-23-eve,epl-eve-mun-2026-02-23,Soccer,EPL,No,1,125895.47,0.7300000000000001,1.0,33991.7769,True
0xd11068264352e7a112406da24060c19f91eee8a0c625f84e3a789d80b534e1fe,Will Leeds United FC win on 2026-01-26?,epl-eve-lee-2026-01-26-lee,epl-eve-lee-2026-01-26,Soccer,EPL,No,1,96774.0,0.69,1.0,29999.94,True
0xe9bcae53c3e8621733f58a9f8517e72b1af01690fa010cf90d4589c238874483,Clippers vs. Lakers,nba-lac-lal-2026-02-20,nba-lac-lal-2026-02-20,NBA,La Liga,Lakers,1,94887.76,0.69,1.0,29415.2056,True
0xb7ce1ee7910564bf973ead5574eddff9f6ed99c4731d5df890837a46b02c9945,Will Galatasaray SK win on 2026-02-25?,ucl-juv-gal-2026-02-25-gal,ucl-juv-gal-2026-02-25,Soccer,UCL,No,1,347431.121008,0.833046,1.0,28178.943501,True
0xc914317b14972d5d15f30740d3bdf32f4028877c13b9d7ccc78b4ba33f67fb1e,Will the New England Patriots win Super Bowl 2026?,will-the-new-england-patriots-win-super-bowl-2026,super-bowl-champion-2026-731,Other,Other,Yes,0,2344743.912382,0.10757999999999998,0.0,26659.307543,True
